p cnf 150 690
29 -42 97 0
-24 -54 125 0
-12 -18 40 0
-48 -52 -117 0
-89 134 144 0
-79 80 127 0
-74 103 107 0
-19 -27 -132 0
3 -5 -92 0
15 59 -67 0
-10 -136 137 0
123 -133 -142 0
76 86 -110 0
-12 -70 122 0
39 -59 80 0
-25 -86 -135 0
-6 -41 -108 0
7 -81 83 0
42 52 -137 0
45 -105 -117 0
-42 -51 -117 0
-70 -72 88 0
-28 -75 133 0
-11 -21 -67 0
91 120 -145 0
-39 76 107 0
-3 73 122 0
28 123 132 0
100 124 126 0
7 -48 92 0
-35 -92 134 0
-40 -53 59 0
-93 109 -127 0
-8 -137 -144 0
-18 -41 -85 0
86 -126 -131 0
26 -127 -148 0
-56 -98 104 0
52 76 135 0
-74 95 124 0
8 45 -104 0
45 76 -139 0
2 -36 -98 0
58 -115 129 0
-60 83 -110 0
-3 26 75 0
-52 94 -106 0
-63 76 113 0
-6 -27 -84 0
21 -76 -81 0
9 -103 -127 0
-40 73 132 0
-14 93 -148 0
-83 128 132 0
39 -107 143 0
-12 79 138 0
23 -72 -75 0
-8 65 -140 0
-34 -67 -113 0
-17 50 89 0
-53 -83 -127 0
36 -53 75 0
-12 68 -86 0
-116 -122 124 0
-67 -140 -142 0
6 -40 113 0
32 -43 -135 0
-17 119 138 0
58 81 97 0
99 128 -141 0
-11 112 132 0
-5 -31 51 0
20 58 -138 0
56 -57 -71 0
-36 126 -128 0
-130 -143 146 0
69 86 104 0
19 87 112 0
93 103 -126 0
-104 124 139 0
38 82 142 0
-21 130 -138 0
70 106 109 0
-49 67 -103 0
33 -53 75 0
28 109 -110 0
-93 108 133 0
21 86 122 0
-43 -57 128 0
-36 -55 100 0
38 -108 -120 0
-44 81 144 0
4 -25 103 0
56 119 124 0
-79 106 -108 0
-12 106 131 0
64 -105 -109 0
-29 -70 -131 0
55 57 -75 0
124 136 -137 0
128 136 145 0
-102 -108 -117 0
-44 78 117 0
-34 -57 109 0
-18 -74 -104 0
45 -81 -121 0
-112 -120 -123 0
34 -129 -139 0
66 -73 138 0
19 -136 145 0
-3 77 -140 0
35 -45 -64 0
104 125 -148 0
-39 -44 -98 0
-12 -20 -141 0
-35 38 -49 0
-17 -91 96 0
-7 -48 74 0
38 46 -103 0
-39 84 94 0
-62 -125 -133 0
7 -18 51 0
9 -27 76 0
-12 -15 -81 0
18 102 -129 0
6 -27 68 0
-16 26 -104 0
7 -102 149 0
20 33 77 0
-53 141 145 0
-11 -20 -95 0
26 77 -96 0
-20 42 -99 0
53 -77 81 0
8 43 130 0
-22 69 132 0
-58 -90 -131 0
-89 -90 -134 0
26 -69 100 0
-52 -82 -125 0
-18 -51 -65 0
-57 -68 -75 0
-41 -47 132 0
27 -138 148 0
-10 82 112 0
60 107 142 0
13 -44 88 0
26 -117 -150 0
-56 118 -133 0
55 57 69 0
-13 22 -41 0
10 -53 103 0
-3 15 -59 0
55 -85 95 0
-29 -35 -139 0
-27 -79 98 0
-21 107 108 0
1 -77 -126 0
35 42 -78 0
114 -120 131 0
41 -46 -57 0
-40 73 125 0
-4 62 -113 0
-78 -84 -140 0
-59 -81 -149 0
-46 -66 100 0
-44 -71 -115 0
-31 -52 -66 0
-86 -132 -139 0
20 100 -115 0
-5 -91 -130 0
-1 -78 -115 0
47 123 133 0
49 -54 -72 0
-27 84 86 0
55 71 -132 0
45 95 129 0
-99 -128 134 0
70 -99 102 0
-85 -88 -106 0
-10 -44 -116 0
-19 83 108 0
-25 29 -88 0
42 -88 89 0
17 -26 128 0
-67 -76 -97 0
-41 -88 -98 0
36 40 -110 0
35 -36 -47 0
24 59 -121 0
-37 73 135 0
-39 48 -70 0
-19 72 77 0
66 103 107 0
-57 86 -116 0
88 133 -148 0
46 69 110 0
-66 -99 138 0
6 -50 -77 0
-17 -58 88 0
-23 -74 -113 0
-1 46 -71 0
-5 96 -137 0
-34 47 127 0
84 101 -145 0
-1 -12 125 0
-28 -42 89 0
-27 97 100 0
-34 48 -149 0
55 -108 133 0
35 74 -133 0
55 -64 95 0
-37 126 142 0
-21 -85 -145 0
55 -91 131 0
-12 65 -103 0
1 22 -145 0
15 -19 -29 0
-9 -47 -118 0
46 57 89 0
72 97 -143 0
-43 -59 -122 0
-39 -90 -133 0
68 111 -146 0
18 -39 46 0
-32 75 132 0
1 40 -142 0
-57 66 -135 0
-1 77 -97 0
-39 -84 -143 0
-53 62 117 0
-12 15 45 0
-7 10 34 0
39 -79 111 0
75 112 149 0
34 -66 110 0
-49 68 71 0
13 -45 83 0
-89 -90 96 0
-67 114 -128 0
-100 119 -133 0
-31 -61 -106 0
-62 87 -139 0
-28 142 143 0
4 42 -114 0
67 -116 119 0
-65 -74 -85 0
-65 79 -102 0
20 -58 -65 0
67 84 -113 0
-28 58 -77 0
-80 -126 -138 0
3 -104 -122 0
90 -140 142 0
