p cnf 150 570
24 117 -145 0
-17 -72 132 0
62 -71 -75 0
82 84 127 0
16 -23 -129 0
-12 55 104 0
-84 110 -118 0
-45 90 -138 0
-60 108 138 0
5 10 -47 0
56 -83 90 0
12 -15 113 0
71 -93 150 0
71 -88 129 0
-60 -70 81 0
24 71 75 0
24 -51 -118 0
32 -48 106 0
-9 -96 -126 0
25 53 119 0
-13 -47 -81 0
7 -81 -105 0
12 118 121 0
55 -79 117 0
-45 79 -104 0
-52 -142 -145 0
7 45 -131 0
3 -50 -111 0
56 63 -119 0
-22 106 -123 0
52 73 -86 0
-5 56 -72 0
15 -26 126 0
-68 -78 -81 0
6 -31 -48 0
38 -43 51 0
36 61 -123 0
59 91 -104 0
22 52 -139 0
12 22 121 0
-104 -122 149 0
17 -121 -145 0
-12 -55 -108 0
4 -9 -126 0
-23 -48 146 0
37 66 150 0
-61 97 132 0
-32 114 -143 0
-9 -75 105 0
7 -17 -129 0
60 -95 -110 0
-63 -108 -129 0
-5 -88 -122 0
-32 -53 -123 0
-66 82 133 0
-11 -128 -146 0
-11 -63 96 0
-54 -59 99 0
-49 114 -141 0
-29 -72 -90 0
15 93 139 0
-61 -77 -106 0
119 136 -140 0
-62 -129 146 0
55 78 82 0
93 127 -139 0
-35 -46 92 0
-6 -139 -145 0
78 -98 130 0
-2 -13 -59 0
-16 -54 147 0
-95 103 137 0
42 51 92 0
19 47 -49 0
-49 51 -70 0
-18 -50 -85 0
-38 89 147 0
-21 59 114 0
-53 -56 -140 0
25 44 -87 0
112 127 129 0
-10 -48 113 0
37 97 -109 0
-54 81 -139 0
120 127 -146 0
86 -93 116 0
-54 -110 114 0
-42 144 150 0
54 -59 -124 0
18 28 85 0
-51 88 -96 0
48 94 -115 0
86 -125 134 0
-71 111 -112 0
-3 -18 120 0
-21 74 -88 0
18 113 -128 0
-77 -105 -127 0
-67 -85 -113 0
13 33 -87 0
63 -72 -95 0
-88 -109 -123 0
59 66 -79 0
63 -88 129 0
-69 106 -147 0
47 -73 -115 0
11 70 116 0
3 -37 92 0
-36 42 72 0
53 -80 83 0
5 -59 -70 0
21 -84 119 0
43 -99 -132 0
-52 59 121 0
-114 -128 -135 0
-118 -131 -149 0
-71 -96 105 0
-40 98 135 0
-82 103 -124 0
-20 -36 -139 0
-44 78 85 0
60 113 -138 0
-33 96 -101 0
-23 37 87 0
26 97 136 0
-24 -44 137 0
-37 64 114 0
4 39 150 0
4 -27 -35 0
-42 54 -121 0
30 -88 -91 0
-25 119 -138 0
-16 -124 -125 0
-36 96 139 0
25 82 -97 0
43 -72 99 0
-10 -19 -120 0
20 55 107 0
-46 84 -90 0
-17 38 -82 0
-41 -46 -91 0
-41 -54 109 0
-10 33 44 0
23 -84 -107 0
-82 -84 -120 0
1 -7 53 0
-58 -77 -136 0
-54 -134 143 0
62 106 146 0
-81 99 -130 0
-31 46 -89 0
11 -19 85 0
45 -92 99 0
-25 39 133 0
-7 -14 -117 0
16 -120 129 0
-72 -82 107 0
3 -32 -132 0
9 -78 82 0
-51 110 120 0
-8 -23 131 0
79 81 -119 0
74 -103 112 0
-55 106 129 0
76 -85 -106 0
-60 -81 -83 0
-48 81 -123 0
-28 52 81 0
28 -126 -150 0
-21 33 -45 0
36 -50 142 0
29 -62 109 0
-5 -62 -120 0
-50 -97 113 0
-60 -84 122 0
-2 20 133 0
48 82 -91 0
-81 89 -112 0
-17 -32 -83 0
85 -118 120 0
-30 -32 105 0
28 67 101 0
-81 -104 -126 0
-42 -82 89 0
24 -55 -100 0
31 39 100 0
-84 -147 150 0
-13 -79 81 0
71 -78 91 0
-8 -60 90 0
66 121 144 0
54 93 -138 0
-53 88 116 0
73 -93 124 0
63 75 -138 0
-74 -87 141 0
-2 80 -129 0
14 -118 137 0
-73 -125 -150 0
45 -73 91 0
63 -81 99 0
27 42 -128 0
45 -108 -119 0
54 -56 -115 0
15 -98 132 0
-6 78 -93 0
31 57 142 0
-28 40 -123 0
-26 -107 114 0
-43 44 -90 0
45 65 -123 0
-65 115 -133 0
34 -55 68 0
-44 -77 -149 0
