p cnf 150 450
-110 149 -150 0
18 74 100 0
20 -94 133 0
-14 74 -150 0
-4 -71 123 0
-1 -57 -126 0
91 92 -143 0
-23 -31 49 0
-77 79 -135 0
-26 41 -75 0
-22 -28 108 0
64 81 -109 0
6 13 142 0
57 -86 -96 0
-1 124 131 0
39 52 89 0
28 50 113 0
-50 108 112 0
1 13 131 0
-40 76 80 0
91 137 -140 0
83 93 -123 0
-97 -105 128 0
17 -20 -86 0
15 114 -140 0
-23 -36 -136 0
31 86 93 0
-65 -86 114 0
-14 28 141 0
-20 95 -96 0
-24 -43 -60 0
23 -39 -147 0
-44 -117 -123 0
-23 -46 -115 0
-124 140 146 0
-42 -76 123 0
-89 98 129 0
40 86 146 0
9 -46 139 0
5 51 -85 0
-32 37 -48 0
-3 16 82 0
36 57 134 0
-20 65 108 0
125 129 -131 0
-29 77 121 0
-25 116 -117 0
-43 -64 84 0
-15 -58 90 0
-101 -148 -149 0
8 108 -113 0
-35 -55 131 0
15 117 -144 0
-29 -33 -132 0
6 -73 -109 0
95 -116 120 0
2 20 -149 0
69 94 -107 0
52 75 -136 0
-11 -81 116 0
-46 136 141 0
38 -69 74 0
16 58 141 0
-69 -92 127 0
50 -80 88 0
-3 -78 -93 0
-4 -91 130 0
-20 123 -136 0
50 76 -115 0
91 -102 149 0
16 -43 74 0
17 -75 103 0
51 -58 -109 0
-113 130 -141 0
4 -17 -137 0
10 45 -55 0
30 -116 -126 0
43 55 149 0
-58 59 136 0
12 114 -121 0
-24 44 86 0
93 97 114 0
-14 -129 -134 0
-7 -31 125 0
12 -14 -107 0
1 24 103 0
12 -91 109 0
44 73 -121 0
54 83 106 0
15 94 111 0
11 -87 108 0
-20 106 -147 0
-23 -132 149 0
16 117 -138 0
27 49 -117 0
-78 -106 -133 0
-2 52 -78 0
-5 19 94 0
-1 54 108 0
-38 62 145 0
22 65 70 0
-52 -82 -105 0
75 87 -104 0
64 71 -80 0
34 -105 129 0
41 -59 -99 0
-10 -28 48 0
52 -57 138 0
-30 32 145 0
-37 -55 66 0
17 18 -68 0
54 75 -93 0
12 46 50 0
-40 -65 -86 0
-1 56 129 0
65 -125 132 0
-61 103 147 0
-44 -122 130 0
27 -125 133 0
18 -77 143 0
-19 33 126 0
27 75 124 0
-16 59 -123 0
-48 101 108 0
-3 43 121 0
12 -105 -137 0
37 -115 117 0
62 99 -143 0
-52 72 -88 0
-38 -63 -77 0
-52 -73 -129 0
-4 -9 -148 0
91 -116 123 0
71 -138 -143 0
-34 35 94 0
65 -129 145 0
-78 -109 136 0
-38 63 121 0
-44 64 -149 0
-76 -86 -110 0
