p cnf 150 750
63 95 -99 0
-5 -52 146 0
-100 115 -147 0
5 -49 -55 0
-3 22 57 0
60 73 -76 0
16 -34 75 0
-11 -83 -121 0
23 80 -139 0
68 102 150 0
-81 139 -144 0
-29 73 121 0
-79 99 100 0
-75 132 148 0
1 -132 148 0
6 13 43 0
-51 64 94 0
-23 -103 -115 0
-18 -40 60 0
30 -64 93 0
75 -123 135 0
-82 -108 119 0
4 86 -87 0
-83 141 142 0
86 -103 137 0
21 -40 -78 0
42 100 123 0
-33 80 136 0
-48 53 95 0
-39 -73 82 0
86 -101 -114 0
-6 79 121 0
48 81 138 0
68 109 143 0
58 -67 -85 0
65 89 109 0
-82 -84 -90 0
-58 104 -105 0
65 126 -130 0
-3 -22 45 0
62 -73 -93 0
-78 -97 134 0
-47 108 112 0
22 23 -144 0
18 -90 -137 0
-34 70 -145 0
9 15 -25 0
-5 -78 -110 0
67 -120 128 0
26 -106 -138 0
9 96 121 0
-48 -60 -67 0
24 -43 -90 0
-32 -48 -95 0
-41 -91 133 0
80 -112 144 0
26 40 -48 0
29 33 -42 0
8 -75 -134 0
-45 -61 -93 0
23 -57 67 0
-65 73 127 0
-11 -51 88 0
-6 -27 -44 0
13 -39 -129 0
-21 -113 142 0
-2 21 -102 0
10 87 -140 0
31 93 -99 0
-17 -38 98 0
80 -138 -148 0
50 -108 144 0
33 -97 144 0
-24 -100 -128 0
-26 -71 90 0
2 42 82 0
42 61 111 0
-37 -71 126 0
33 -60 -119 0
8 85 -122 0
-33 64 66 0
-26 83 -110 0
18 98 131 0
-2 15 127 0
-31 -46 -71 0
-39 -43 -67 0
-45 94 95 0
-18 -76 142 0
-18 43 109 0
54 106 108 0
75 84 133 0
2 -45 98 0
-48 125 -142 0
-30 58 -112 0
7 -13 -124 0
45 -76 79 0
-12 -15 -104 0
12 -109 140 0
-15 89 127 0
-9 -24 142 0
7 -137 -144 0
31 36 -92 0
-24 39 92 0
62 79 142 0
-50 -77 -96 0
39 92 -102 0
22 26 -44 0
-110 -112 -129 0
-17 -55 83 0
-21 -91 -144 0
53 -102 143 0
-33 -104 120 0
-17 -64 77 0
48 51 150 0
-79 94 148 0
7 -48 -119 0
-5 25 -91 0
89 -97 -124 0
14 27 86 0
-3 74 -101 0
57 81 127 0
4 102 -129 0
38 -45 -124 0
-15 -91 104 0
-59 95 -103 0
-70 88 142 0
-23 -88 103 0
22 -47 57 0
