p cnf 150 450
55 105 134 0
-15 -74 103 0
59 -60 124 0
60 -86 -104 0
21 125 127 0
16 118 -134 0
-63 -77 -80 0
-61 -98 135 0
-3 -13 -91 0
-35 44 -140 0
-84 111 125 0
46 -66 67 0
29 -39 41 0
-42 -54 84 0
-77 -94 120 0
-17 -75 -146 0
47 -54 131 0
-6 34 -45 0
-16 40 64 0
-25 84 125 0
73 89 -106 0
77 -102 126 0
-26 -74 108 0
-79 83 -87 0
-23 -108 123 0
-18 -56 -88 0
-36 -45 -86 0
9 -40 73 0
54 86 135 0
-35 -55 -117 0
19 35 57 0
67 -125 -150 0
-45 69 73 0
-59 -143 -150 0
-26 -61 -107 0
60 -82 -120 0
122 135 139 0
46 -81 -140 0
54 -137 -146 0
-32 -95 -116 0
-80 83 -116 0
-20 39 128 0
59 98 132 0
46 99 -118 0
-33 -116 -124 0
16 27 54 0
-9 45 -144 0
32 72 82 0
-12 58 -130 0
82 90 120 0
17 -78 -107 0
-37 60 73 0
62 -68 -91 0
34 -86 -124 0
-20 -125 -133 0
43 -91 116 0
-38 64 -117 0
-57 123 -130 0
53 -88 -147 0
15 -45 56 0
75 -91 -131 0
3 -30 -47 0
-28 -35 112 0
9 21 133 0
-2 -47 -103 0
-16 49 -127 0
94 -102 140 0
31 -75 136 0
-22 -29 56 0
-12 14 57 0
-33 92 128 0
-28 50 -112 0
6 -98 -113 0
36 -88 133 0
11 -122 133 0
-26 57 -86 0
-21 -30 -81 0
-3 -8 -139 0
-29 -111 132 0
-48 52 65 0
28 -83 -137 0
-66 89 117 0
33 34 -77 0
6 -55 -140 0
-65 -116 -150 0
72 80 122 0
-3 -113 114 0
-69 -71 144 0
-18 -71 -124 0
35 -61 74 0
117 119 -134 0
48 65 90 0
-4 56 -85 0
-130 147 150 0
-66 71 120 0
27 -83 87 0
-24 31 115 0
9 -129 -144 0
-22 -37 -76 0
5 -109 -126 0
-13 -32 133 0
-85 -86 -142 0
-20 -49 -144 0
36 -108 -135 0
-32 -83 121 0
9 44 97 0
9 84 126 0
25 106 -107 0
13 99 -100 0
21 -101 122 0
39 -74 89 0
19 -104 124 0
9 68 -96 0
-39 40 -73 0
-65 115 133 0
8 71 -120 0
11 -126 -137 0
-117 -120 140 0
24 84 -111 0
1 -28 -102 0
33 88 -139 0
18 128 141 0
93 115 -118 0
73 85 -145 0
-48 76 140 0
-23 35 -42 0
-45 64 124 0
3 86 140 0
58 142 146 0
-59 -88 -145 0
-28 53 -129 0
90 -128 136 0
55 101 -116 0
-5 -37 69 0
-22 23 132 0
40 -47 -79 0
22 -57 139 0
-91 97 -119 0
-13 -114 142 0
-34 -80 100 0
13 60 71 0
16 32 49 0
8 -58 71 0
12 -18 -110 0
-5 12 26 0
45 63 111 0
-50 71 102 0
64 65 142 0
-47 52 131 0
71 106 108 0
37 75 150 0
-22 -30 -62 0
79 -119 -120 0
-36 98 111 0
-13 -83 148 0
-41 -78 -95 0
2 -13 98 0
-26 85 -106 0
19 -51 123 0
3 77 -117 0
-12 -25 49 0
35 106 120 0
-39 -129 -130 0
34 55 70 0
1 117 -146 0
-36 -48 -56 0
-28 29 89 0
-40 110 -116 0
-72 73 134 0
-73 116 -118 0
-76 79 -142 0
45 -89 139 0
59 76 -87 0
46 95 -134 0
73 111 -142 0
-20 126 -134 0
-93 102 122 0
-10 60 128 0
-8 -11 -96 0
-8 -12 -116 0
-49 -57 -113 0
-11 44 -135 0
-14 -21 -143 0
97 -109 129 0
13 -98 145 0
39 126 -139 0
-17 -49 -69 0
104 112 -145 0
-1 122 142 0
64 99 147 0
-10 29 47 0
-29 95 -115 0
7 92 142 0
29 85 147 0
21 -84 91 0
-33 -94 -135 0
23 -29 -51 0
25 71 -101 0
1 -53 61 0
-44 -90 -120 0
55 86 140 0
-101 135 -147 0
15 49 -136 0
48 51 57 0
33 129 135 0
-81 97 130 0
-20 -53 -91 0
-19 128 -138 0
18 -45 -142 0
122 124 -134 0
55 -93 -150 0
-91 -120 137 0
4 60 106 0
-22 41 87 0
20 -70 -136 0
-38 114 -138 0
9 16 -20 0
17 38 -85 0
-19 71 -144 0
80 -136 -148 0
-38 -69 106 0
-34 -44 -116 0
-100 -130 142 0
43 118 -119 0
55 -71 -73 0
-41 89 -140 0
-80 -81 -109 0
-5 44 -122 0
-2 -28 71 0
45 83 -147 0
43 69 -128 0
-8 63 150 0
-43 -117 -136 0
56 -58 -133 0
-20 -62 -105 0
-45 67 -102 0
76 -92 109 0
-61 -137 -148 0
19 57 105 0
-10 -114 139 0
1 -38 56 0
6 29 91 0
5 -17 -117 0
18 25 -56 0
-1 -28 -38 0
-3 30 -125 0
11 -84 100 0
52 -120 -127 0
45 117 138 0
17 -115 -133 0
-19 -26 -109 0
-12 79 -122 0
4 -15 -115 0
109 -115 -135 0
2 7 -137 0
-26 -53 -112 0
-83 -109 142 0
48 51 74 0
25 -69 -115 0
16 74 143 0
30 51 103 0
-27 -118 -149 0
7 -90 142 0
1 28 96 0
-28 -44 96 0
-14 -69 114 0
-46 -58 -98 0
-61 -102 -109 0
-14 -118 125 0
-48 -51 113 0
3 22 113 0
-15 48 -127 0
-18 -41 139 0
68 74 100 0
-13 53 -54 0
-2 99 139 0
-21 -46 -103 0
96 -113 142 0
16 46 132 0
60 70 98 0
31 78 -132 0
78 105 123 0
44 107 -108 0
40 61 85 0
14 66 95 0
-92 119 134 0
-39 -61 -94 0
-115 -137 147 0
124 132 -141 0
-10 86 89 0
35 84 -116 0
6 26 122 0
13 -36 149 0
-57 -117 142 0
31 86 -115 0
-60 -80 -97 0
-7 39 -146 0
-56 88 139 0
-3 17 140 0
-35 39 -108 0
-87 -120 146 0
4 31 40 0
34 -118 -119 0
35 -61 143 0
-60 122 128 0
-46 -93 131 0
49 -126 -137 0
42 -43 -78 0
53 54 -81 0
44 -54 -81 0
-12 124 150 0
55 129 -130 0
-23 65 -97 0
-8 88 98 0
1 42 -110 0
70 -106 150 0
-23 42 142 0
13 93 -145 0
84 86 117 0
-4 33 79 0
97 -117 -126 0
-21 34 -60 0
9 -30 51 0
30 -41 55 0
-50 -88 -95 0
-71 135 146 0
-35 -53 -138 0
-17 46 114 0
25 -107 112 0
72 108 -133 0
15 -129 149 0
19 -92 148 0
-34 68 76 0
-30 -95 139 0
-12 -14 123 0
24 36 52 0
102 115 117 0
28 99 -128 0
44 69 94 0
88 -90 150 0
-6 -111 119 0
19 72 143 0
99 111 -146 0
-20 -40 100 0
18 -92 -140 0
-79 -83 104 0
-36 -42 85 0
-32 117 -119 0
16 51 -121 0
21 131 -141 0
49 130 -142 0
41 -47 -50 0
-53 81 -108 0
-22 39 -111 0
21 -50 -115 0
18 32 -34 0
-8 -89 -132 0
-44 81 97 0
-36 38 116 0
-18 -132 -142 0
37 -43 -140 0
-57 -67 95 0
-21 -48 101 0
8 -35 39 0
89 -114 -138 0
14 -76 -132 0
-108 113 -125 0
34 81 -83 0
21 25 -67 0
80 82 107 0
14 -19 20 0
13 126 -135 0
13 78 -129 0
3 -23 -46 0
3 50 -91 0
20 -42 78 0
10 47 80 0
-43 48 -132 0
43 -73 -99 0
8 74 98 0
-48 100 -139 0
28 -40 106 0
10 -80 98 0
-5 28 46 0
74 85 150 0
39 -116 -118 0
4 61 93 0
58 88 -135 0
-20 54 101 0
-26 -54 -119 0
63 141 -142 0
25 -75 -128 0
-42 47 87 0
54 70 -145 0
-19 -106 -112 0
-8 78 -114 0
-6 87 124 0
79 102 -121 0
-14 29 72 0
88 -97 -119 0
-6 62 -91 0
23 51 72 0
45 56 -68 0
35 -44 71 0
-88 96 -126 0
8 83 137 0
55 65 -118 0
31 -68 -88 0
-78 93 -129 0
-13 -99 122 0
-49 -65 -143 0
-28 -59 -111 0
-69 -127 -137 0
37 92 -118 0
-31 43 -112 0
-14 24 -82 0
8 43 -105 0
-4 -83 -112 0
31 -99 -132 0
-53 -66 -134 0
78 95 109 0
-62 -95 -124 0
-10 31 69 0
24 -55 -105 0
-13 -63 -71 0
3 38 83 0
5 57 -117 0
-30 -107 150 0
-107 108 -146 0
19 95 100 0
-104 129 -135 0
38 101 106 0
36 -98 -130 0
-20 111 -129 0
-102 -139 149 0
35 -67 115 0
-12 -54 -78 0
-31 -95 126 0
-51 -68 77 0
9 -86 -100 0
9 -22 -93 0
-49 -65 74 0
47 114 129 0
-29 -86 -145 0
-33 50 -58 0
56 61 143 0
1 48 76 0
11 36 87 0
-14 -32 -95 0
-6 -42 -143 0
