p cnf 150 870
38 -70 150 0
34 -81 -147 0
14 33 94 0
96 108 150 0
34 99 136 0
-24 40 -70 0
109 115 -124 0
4 9 -22 0
39 -110 -134 0
15 -73 103 0
-111 127 -135 0
-11 -28 -144 0
19 -145 -147 0
24 -28 -117 0
16 32 -98 0
-9 -15 -121 0
20 58 -92 0
-44 -64 -100 0
-21 57 107 0
-23 -74 81 0
-30 -73 95 0
-36 -43 -107 0
50 -77 -127 0
-65 -86 -125 0
-8 20 -134 0
7 78 -106 0
-3 -102 134 0
-81 122 133 0
86 112 114 0
-44 -109 -120 0
-126 131 138 0
52 69 -130 0
-17 35 59 0
-69 86 92 0
118 -133 -137 0
-51 -76 115 0
-58 -109 141 0
-25 -32 123 0
40 -79 -136 0
21 -65 -109 0
52 64 -123 0
-2 -80 110 0
-7 -12 -73 0
21 -86 -119 0
63 -64 -147 0
-18 89 -124 0
-36 -88 -111 0
1 -125 145 0
-8 -55 120 0
17 74 113 0
8 10 131 0
-17 -47 -117 0
-53 111 -138 0
25 -47 140 0
2 56 134 0
-23 59 -119 0
-17 -77 103 0
39 -57 -76 0
80 101 103 0
13 -88 -148 0
142 -146 -147 0
82 118 -139 0
67 -136 147 0
15 -37 -70 0
18 95 -98 0
-56 -58 -102 0
38 -107 -123 0
-23 -44 148 0
-28 -97 107 0
-27 121 131 0
-50 132 -148 0
-64 -91 116 0
-57 85 -137 0
1 -38 -121 0
35 -49 -57 0
-37 91 -134 0
-67 92 148 0
-29 -36 -39 0
-5 99 121 0
-14 59 60 0
35 -40 58 0
25 38 72 0
79 -85 -143 0
-8 78 134 0
52 82 91 0
-4 -22 -96 0
-64 108 115 0
-79 107 -136 0
-32 -126 -139 0
-8 -23 -34 0
81 -102 106 0
-39 101 114 0
-15 18 -82 0
44 -103 -123 0
-100 106 -149 0
111 136 -142 0
84 -96 99 0
-35 95 131 0
-57 66 -105 0
25 33 -67 0
-69 -114 135 0
-121 122 130 0
-10 64 91 0
-55 109 136 0
11 13 118 0
15 106 -146 0
36 67 -143 0
-37 143 147 0
-31 119 121 0
-26 -66 -127 0
-25 -86 127 0
39 51 -77 0
77 -79 126 0
-74 -77 -109 0
49 92 -149 0
-28 -68 -70 0
-27 66 79 0
11 96 -143 0
-91 139 -147 0
79 -138 139 0
35 54 -137 0
15 -62 79 0
16 -17 47 0
54 -81 -132 0
-9 62 134 0
30 -55 148 0
-110 -143 147 0
11 -90 -137 0
-2 -87 -137 0
19 -55 -97 0
-34 125 147 0
32 110 145 0
-37 82 94 0
48 98 -119 0
13 40 48 0
-88 96 138 0
-2 -81 -107 0
-11 -95 101 0
13 -36 -149 0
15 28 -114 0
14 -105 124 0
78 129 133 0
43 -62 -109 0
26 48 -118 0
38 -52 111 0
-24 86 -132 0
40 93 94 0
24 -54 96 0
6 -92 -96 0
24 104 -108 0
108 120 -133 0
12 37 -99 0
15 38 -43 0
2 -57 -89 0
-3 -8 -96 0
-23 -135 137 0
53 -64 -77 0
2 -98 118 0
36 -50 -125 0
-41 77 -108 0
3 4 107 0
51 63 -87 0
-17 -51 -124 0
58 -76 137 0
-73 -81 -149 0
-49 106 -144 0
-84 -104 139 0
18 -27 38 0
-15 105 125 0
35 55 109 0
62 131 139 0
15 -83 -103 0
33 -76 -124 0
107 113 133 0
22 31 32 0
25 -47 -123 0
-86 -91 105 0
28 -81 -90 0
-41 -119 -134 0
-76 86 113 0
-15 85 -133 0
11 38 130 0
76 79 124 0
-68 -108 -126 0
2 21 -37 0
-73 -80 -114 0
15 41 -51 0
53 106 -110 0
-12 33 39 0
12 137 149 0
-8 -94 -104 0
-55 -57 119 0
-64 83 125 0
-41 -52 -101 0
101 115 136 0
79 -120 130 0
-20 57 -132 0
-4 65 95 0
15 -16 -17 0
6 -72 76 0
-64 -120 -135 0
-83 118 126 0
-56 -72 98 0
36 60 150 0
60 75 -148 0
34 -47 96 0
100 -110 118 0
-37 116 146 0
42 50 -93 0
-19 -98 -118 0
-25 113 126 0
-28 -94 -103 0
-116 127 -146 0
20 86 -128 0
-37 -114 115 0
-62 -91 138 0
9 -18 60 0
66 92 94 0
-68 99 -116 0
-82 124 137 0
28 70 -108 0
-7 -53 111 0
-47 -77 -80 0
33 -35 -142 0
-55 84 -89 0
-1 -118 119 0
34 56 142 0
99 -126 -148 0
14 61 -92 0
53 -104 -122 0
-19 -90 -95 0
40 -61 -65 0
30 -43 85 0
34 76 -94 0
4 39 79 0
97 -111 -126 0
94 -95 127 0
-30 41 122 0
4 86 -111 0
104 -105 144 0
9 -33 37 0
53 -90 -134 0
-32 -120 -125 0
18 -22 97 0
51 -95 141 0
-63 -65 -116 0
-28 55 -78 0
48 -69 76 0
32 -69 -115 0
62 112 118 0
45 -72 -119 0
-44 54 -109 0
-4 -72 84 0
-64 -84 -122 0
2 -91 -142 0
-36 -70 -143 0
-10 -34 100 0
9 -78 97 0
-34 102 142 0
16 -96 134 0
36 -75 100 0
34 -71 77 0
-21 23 -139 0
-12 -50 69 0
-108 -111 -146 0
61 -120 -127 0
5 45 114 0
110 111 -150 0
67 74 -110 0
10 43 -125 0
33 -65 98 0
12 93 97 0
4 -120 -131 0
34 50 64 0
25 -60 116 0
50 -86 -90 0
-24 37 125 0
-13 117 139 0
-31 72 102 0
-115 -118 142 0
75 78 -138 0
31 76 -95 0
-45 -77 -140 0
-35 -112 -123 0
-15 -34 84 0
22 61 66 0
-67 -105 125 0
-6 -91 140 0
12 50 64 0
-27 -82 -91 0
-11 -29 -137 0
35 -71 -135 0
70 109 -150 0
50 60 81 0
-23 -79 -148 0
13 57 115 0
-57 -67 143 0
18 36 -129 0
46 106 109 0
34 -47 142 0
63 -138 -148 0
-119 -134 136 0
7 31 146 0
24 -44 126 0
-31 -135 150 0
53 77 93 0
16 21 -144 0
-25 -40 -141 0
-22 -81 89 0
-15 -41 -84 0
-3 71 -77 0
-47 -146 -147 0
50 -64 -95 0
65 -117 -139 0
-4 -9 108 0
8 -45 73 0
-6 14 -61 0
-67 -89 96 0
32 -33 34 0
