p cnf 100 480
-18 -60 71 0
-12 33 -47 0
-3 80 86 0
-88 92 99 0
-34 -37 -91 0
-49 98 99 0
2 24 63 0
-3 -21 77 0
-68 -70 84 0
45 82 -95 0
-7 -95 97 0
-42 68 95 0
23 -92 -94 0
3 27 -80 0
-43 -55 -81 0
-69 80 -81 0
-16 24 -50 0
12 -40 -47 0
-34 -45 -55 0
55 -73 85 0
-15 -54 -63 0
-15 -45 73 0
-14 21 -59 0
21 37 43 0
-5 57 76 0
-21 34 80 0
6 77 -92 0
42 70 81 0
67 -74 95 0
-48 50 99 0
29 -42 -50 0
3 95 -96 0
-18 23 -97 0
-13 29 -73 0
76 -90 98 0
-7 57 87 0
16 -21 99 0
35 36 89 0
30 -67 -73 0
12 -91 99 0
12 31 -32 0
-17 29 -84 0
-4 -20 -80 0
10 -36 -85 0
-28 74 97 0
29 -54 92 0
37 -71 97 0
-20 53 -56 0
-5 30 38 0
-16 -58 -67 0
25 -69 -71 0
-22 -55 -80 0
10 33 -44 0
-10 -96 100 0
-13 -43 -48 0
3 71 -85 0
10 -13 -50 0
-24 -34 42 0
16 19 65 0
-26 50 -82 0
-20 -21 -59 0
32 -58 -81 0
-26 -33 89 0
14 -59 -84 0
52 83 -92 0
33 -44 -52 0
11 15 29 0
-1 10 43 0
-10 -66 -98 0
-2 4 -28 0
4 51 -100 0
4 -16 70 0
-54 -69 -86 0
-3 -28 93 0
-34 69 89 0
-16 46 -98 0
24 -55 75 0
-48 -64 -83 0
16 49 69 0
28 35 67 0
-1 -25 28 0
-15 45 -100 0
58 73 -83 0
-53 90 97 0
-23 -29 -53 0
7 60 -87 0
-8 69 97 0
-13 53 84 0
-7 59 99 0
-20 -67 -94 0
-23 -92 -98 0
-63 92 94 0
36 61 80 0
-13 69 -76 0
-12 -94 99 0
1 23 -81 0
-42 61 -63 0
41 -49 -60 0
-4 56 85 0
-74 75 79 0
-22 -67 -81 0
31 48 64 0
-35 52 96 0
17 -42 57 0
-64 73 -83 0
-6 -80 84 0
-30 81 92 0
-16 -38 -69 0
-56 -77 79 0
16 66 -98 0
-12 32 57 0
-44 -51 -90 0
33 -55 62 0
-17 -52 55 0
29 39 -72 0
-46 80 -88 0
-57 -62 -66 0
-32 80 84 0
45 -49 -90 0
-9 85 99 0
24 -38 -75 0
44 -68 -74 0
-19 -77 97 0
-14 41 -91 0
-4 -51 87 0
12 27 -29 0
-58 63 79 0
-57 72 -85 0
-80 85 -87 0
-9 20 -58 0
59 60 -99 0
-36 -50 97 0
-28 90 -95 0
24 40 -51 0
-27 -47 93 0
-51 -86 93 0
23 84 -100 0
-3 78 -99 0
-11 75 98 0
5 -17 -54 0
28 -38 68 0
-52 -77 -89 0
43 -60 84 0
-4 -5 -37 0
46 60 88 0
-26 -38 -88 0
