p cnf 100 440
-3 -48 -57 0
12 83 -84 0
22 33 -62 0
32 -55 -62 0
36 -74 -83 0
-7 19 -50 0
-31 70 -100 0
37 -38 -96 0
44 -50 -61 0
-10 -29 58 0
-59 82 -93 0
-39 58 -92 0
-5 -41 93 0
-44 83 -85 0
22 -31 -99 0
-41 -50 100 0
10 -16 19 0
-20 27 -40 0
-8 51 -62 0
-2 -69 -71 0
2 -41 -69 0
4 40 64 0
-46 -59 91 0
18 92 98 0
-38 78 -87 0
39 44 -56 0
-36 46 -78 0
-33 -46 -99 0
21 -66 89 0
-32 -52 -73 0
21 -26 -55 0
-34 -36 41 0
-17 -50 -74 0
11 -21 39 0
22 -68 81 0
-9 33 -71 0
31 53 -59 0
-2 -44 76 0
14 -69 -75 0
40 91 -95 0
7 -17 46 0
-3 -71 82 0
-73 97 -99 0
-48 59 -76 0
46 58 -91 0
68 -71 -81 0
-68 87 -94 0
23 45 57 0
-1 80 -92 0
-27 -76 -81 0
-15 -37 97 0
14 43 -49 0
11 45 -77 0
49 76 -88 0
-32 50 -62 0
24 58 -97 0
-3 -19 49 0
-51 57 -71 0
30 -38 -45 0
64 81 -93 0
12 -37 48 0
17 34 -73 0
15 26 43 0
-6 -63 86 0
-28 41 74 0
32 74 100 0
18 65 -68 0
38 47 -54 0
-21 -23 81 0
-44 -70 80 0
-5 22 -79 0
1 -50 -84 0
7 -50 68 0
-52 61 -62 0
26 -27 87 0
2 14 -36 0
-22 -58 -90 0
36 -77 88 0
-23 -31 -73 0
68 -69 -79 0
19 -20 -33 0
3 63 93 0
3 12 38 0
56 -87 98 0
20 39 100 0
-20 37 68 0
6 18 -93 0
2 -13 -48 0
-55 -61 -94 0
-43 81 93 0
17 28 94 0
-5 -8 -98 0
32 47 -67 0
22 -47 -77 0
2 18 -81 0
30 -65 94 0
-15 26 71 0
-37 67 88 0
25 -45 -82 0
-36 80 -84 0
75 82 -98 0
45 54 -69 0
18 -62 -87 0
20 -61 86 0
38 62 -94 0
-26 -46 -63 0
25 54 -73 0
56 -66 90 0
4 -78 -87 0
59 -94 100 0
-6 21 -60 0
-61 -70 -93 0
19 25 -96 0
33 -44 -87 0
8 -19 -74 0
-6 -43 97 0
10 -36 -89 0
-22 30 82 0
-27 35 83 0
-7 31 58 0
-16 -45 -57 0
9 54 71 0
-18 67 -71 0
52 93 -96 0
-35 57 -60 0
-2 -44 83 0
36 61 -71 0
37 91 93 0
9 23 -31 0
-47 71 -78 0
18 -52 -99 0
3 -19 -25 0
3 -33 78 0
37 -40 96 0
-1 -61 80 0
38 80 89 0
10 -40 41 0
-3 14 -30 0
-40 54 -63 0
8 -64 -68 0
20 -37 -63 0
2 -64 66 0
-13 -50 66 0
2 51 -69 0
7 -48 -76 0
2 22 35 0
-17 -46 -78 0
65 66 -74 0
-16 -58 70 0
-1 -18 94 0
3 -61 -69 0
18 34 -47 0
-13 54 98 0
-54 -86 -92 0
-13 -70 -79 0
18 -22 61 0
-61 68 94 0
3 -20 51 0
7 44 79 0
-40 41 57 0
-24 59 -95 0
60 -66 67 0
-29 -46 -86 0
15 -79 95 0
-41 -46 80 0
-11 56 98 0
-15 -54 -55 0
-31 -61 82 0
64 87 94 0
-24 -96 -98 0
-27 -77 90 0
35 41 -66 0
14 19 79 0
-64 68 -94 0
3 -47 -66 0
20 -22 -42 0
-1 -8 21 0
-28 37 -48 0
-44 -54 -60 0
-63 65 -78 0
-18 -34 -76 0
-29 37 92 0
-22 -63 -82 0
5 74 -92 0
10 11 91 0
66 87 -93 0
11 25 -53 0
31 38 97 0
-5 31 -33 0
-28 -42 -50 0
33 39 65 0
58 92 100 0
72 -93 -100 0
28 -41 -77 0
-3 -8 35 0
48 -85 97 0
26 -55 -78 0
3 58 81 0
6 24 35 0
-29 -49 -52 0
-29 31 63 0
-35 -44 -55 0
10 -27 36 0
-28 -69 -94 0
3 -12 30 0
36 75 77 0
-23 60 -79 0
-20 -26 -83 0
9 18 37 0
-7 -64 89 0
41 53 88 0
53 -66 95 0
28 63 -91 0
12 -39 76 0
30 32 83 0
4 14 -23 0
5 -39 100 0
49 -62 -78 0
47 54 -70 0
-9 -11 -14 0
37 -46 -79 0
-49 -58 -64 0
-8 -20 49 0
26 -39 99 0
-28 29 74 0
-55 -58 81 0
-42 88 99 0
-68 -79 84 0
2 -42 -95 0
12 -34 -53 0
-9 26 90 0
34 -43 55 0
-13 99 -100 0
-47 50 80 0
28 -44 -55 0
3 -71 80 0
48 63 -73 0
-83 -98 100 0
-25 -63 97 0
-16 32 70 0
-18 -79 94 0
-21 38 71 0
44 -63 66 0
-4 -7 -37 0
-29 -56 -59 0
36 -41 -64 0
11 63 86 0
39 -44 -57 0
-38 43 -86 0
22 33 -68 0
4 21 -76 0
35 -68 90 0
-29 -69 -82 0
-12 -57 -63 0
7 45 88 0
-29 62 -78 0
4 14 16 0
-14 -38 -82 0
-9 -12 -36 0
-18 -77 79 0
-22 -23 -79 0
-38 -74 83 0
-17 -51 -83 0
-12 13 62 0
28 41 -51 0
13 -18 76 0
-36 -53 60 0
-52 -73 89 0
-32 -76 -99 0
-52 55 -88 0
7 -77 -89 0
55 -56 95 0
14 46 61 0
24 38 -45 0
6 49 -62 0
-30 -50 59 0
-50 51 95 0
-10 -34 75 0
-14 41 -83 0
-6 36 -47 0
67 -80 85 0
6 12 90 0
-29 -50 89 0
-17 70 75 0
-22 42 -97 0
-49 -65 -89 0
41 73 78 0
10 22 45 0
-33 61 -78 0
68 -71 -95 0
-54 -65 100 0
-10 -56 -96 0
13 -34 43 0
-7 15 97 0
-19 -50 -62 0
12 -23 -31 0
34 59 -98 0
16 24 -64 0
42 -81 96 0
-43 44 63 0
6 49 60 0
-16 -46 -68 0
17 64 88 0
-25 40 -63 0
-4 78 -79 0
-19 30 -95 0
8 49 -52 0
-19 -20 64 0
-43 62 77 0
47 76 78 0
-10 39 76 0
19 -29 80 0
7 42 -94 0
-36 -51 -61 0
-45 62 88 0
-36 -38 63 0
47 79 90 0
-20 -23 82 0
-2 -20 83 0
20 -28 -92 0
6 -76 94 0
17 -28 -63 0
-45 64 -76 0
10 -42 -53 0
65 66 99 0
-5 45 -71 0
-12 19 33 0
-37 -45 64 0
18 61 -88 0
34 -77 93 0
20 -38 -40 0
-28 -29 82 0
26 -58 61 0
25 -40 60 0
-28 32 -63 0
25 42 -66 0
67 -80 -84 0
35 71 -87 0
9 -44 71 0
-1 -15 -33 0
11 -72 -92 0
8 -43 59 0
30 -47 -55 0
-1 57 -62 0
23 42 -96 0
1 32 -45 0
44 -57 -58 0
36 47 52 0
-80 -81 93 0
66 -83 -87 0
8 -55 84 0
27 -84 98 0
8 71 -89 0
-12 -83 95 0
-27 -77 95 0
-69 -77 91 0
77 90 93 0
36 -41 85 0
4 15 -21 0
-15 -70 94 0
-2 32 -33 0
8 -9 -98 0
74 88 100 0
-12 -30 62 0
-28 -75 97 0
33 37 -78 0
12 28 34 0
-10 49 56 0
41 -91 -99 0
-75 80 98 0
-17 -44 74 0
26 -34 70 0
-59 -64 -72 0
-17 -54 59 0
44 56 73 0
4 -15 -17 0
33 44 77 0
-21 47 50 0
62 71 86 0
7 -19 41 0
-31 -43 -66 0
2 24 50 0
17 -58 -90 0
-14 18 -42 0
33 -40 96 0
-45 -57 -81 0
-6 19 94 0
-10 -57 95 0
-24 -41 78 0
26 -37 78 0
-26 57 -90 0
33 -94 96 0
5 40 92 0
-63 83 93 0
-20 -76 -79 0
22 35 71 0
-65 -68 -98 0
24 -50 -90 0
-55 -78 87 0
-3 -13 -24 0
16 29 65 0
24 -60 -65 0
26 85 98 0
-28 -45 79 0
-57 60 76 0
-39 63 67 0
-29 89 -91 0
-3 -21 38 0
