p cnf 100 520
-31 59 -77 0
-3 -38 -86 0
-26 50 100 0
-32 37 71 0
53 65 -79 0
-13 -47 64 0
3 48 97 0
2 -16 60 0
37 -58 79 0
-3 -9 -96 0
-24 73 -100 0
3 41 73 0
-7 -18 80 0
-6 -36 51 0
-12 -18 -64 0
10 -69 98 0
83 -87 93 0
-38 -59 72 0
-63 -78 -80 0
33 -61 67 0
17 -55 99 0
6 -51 62 0
-15 39 50 0
-60 -76 100 0
12 -65 88 0
37 61 -90 0
-54 61 -91 0
17 25 79 0
23 -57 -96 0
-7 -53 -80 0
-29 31 57 0
-50 66 -86 0
8 33 -56 0
-62 78 -92 0
2 33 -64 0
12 80 88 0
-20 -36 -100 0
-15 86 93 0
26 -45 47 0
-14 46 87 0
3 8 -16 0
-2 30 -48 0
-9 -11 -84 0
-3 -7 -99 0
2 68 98 0
33 61 -84 0
16 -35 -66 0
11 -33 99 0
4 53 73 0
56 61 -90 0
52 -76 -79 0
21 -78 94 0
30 34 -99 0
-5 -42 64 0
31 -65 68 0
-17 -40 51 0
24 -55 58 0
42 -55 -95 0
46 79 -94 0
11 82 91 0
40 -49 -71 0
-39 -45 -81 0
46 -72 77 0
41 62 75 0
28 29 99 0
50 58 97 0
31 -35 63 0
79 89 -95 0
-18 -36 -85 0
-57 -67 -95 0
3 5 -40 0
9 19 -24 0
1 15 -92 0
-81 -95 99 0
-14 -50 53 0
5 27 -51 0
-21 -41 -44 0
25 -37 -88 0
-58 74 -78 0
24 -29 -79 0
4 -33 -82 0
44 88 90 0
-15 -18 -44 0
-22 36 77 0
32 -90 100 0
-26 68 -70 0
-8 16 43 0
25 -26 -67 0
-62 66 67 0
-19 40 79 0
5 43 -46 0
32 -34 -35 0
-3 42 68 0
27 37 80 0
-10 -41 -63 0
-1 -76 -96 0
8 52 77 0
-14 -28 70 0
27 -41 74 0
-4 60 61 0
9 18 48 0
10 52 -68 0
47 52 -96 0
-65 -67 -79 0
-3 -58 95 0
17 -60 -75 0
33 64 -79 0
26 -39 73 0
-33 83 -95 0
-3 17 -64 0
-10 26 -93 0
-1 -26 53 0
58 -67 -69 0
-3 14 25 0
26 -51 -83 0
14 -42 73 0
-15 50 -99 0
-46 53 -62 0
8 -33 61 0
6 -15 93 0
22 79 -92 0
44 45 -71 0
-36 48 -58 0
2 -69 -92 0
12 27 58 0
-34 -43 -97 0
-38 -94 99 0
14 -22 36 0
-10 -24 -38 0
85 89 -91 0
-5 -48 78 0
2 8 -15 0
-32 82 -85 0
47 69 -75 0
66 -93 -95 0
-39 61 -87 0
42 -47 50 0
-8 27 -76 0
-30 -40 -90 0
-20 -52 96 0
16 -23 -84 0
-15 19 50 0
-38 -90 -93 0
16 -29 73 0
-13 64 -99 0
35 80 -100 0
-5 40 -56 0
10 -33 -78 0
4 70 -87 0
3 8 -20 0
21 44 52 0
-45 65 81 0
-40 88 89 0
-10 -61 -87 0
-2 29 35 0
36 50 -87 0
10 -12 31 0
27 -52 62 0
14 -54 -90 0
44 -52 -86 0
5 19 -60 0
-21 41 -81 0
-7 -18 -71 0
8 11 41 0
-4 92 95 0
-27 -39 -90 0
10 15 -76 0
9 -14 -37 0
2 7 -95 0
10 -83 -98 0
-4 -23 55 0
3 -42 77 0
-7 -60 81 0
-16 24 -55 0
-29 48 -56 0
6 -42 -75 0
-53 70 -89 0
-26 -69 -93 0
22 -32 82 0
2 12 -74 0
52 -65 82 0
38 -69 -89 0
37 -41 76 0
6 -52 90 0
-55 -76 -90 0
9 63 77 0
45 -54 -56 0
60 97 98 0
-16 18 -81 0
56 -99 -100 0
-69 -76 -99 0
10 49 -83 0
-16 41 -63 0
-37 45 66 0
-40 51 87 0
-36 -42 80 0
43 -60 -72 0
74 76 83 0
5 62 64 0
-39 -84 90 0
-46 76 -94 0
38 -66 -100 0
39 -46 98 0
17 52 -82 0
-3 -31 41 0
36 -81 86 0
44 79 92 0
-5 -24 -30 0
-53 -54 55 0
-1 -84 -89 0
-25 80 -92 0
-44 -62 -75 0
-21 -43 -66 0
47 -48 77 0
6 69 72 0
1 17 95 0
33 87 99 0
-16 19 -79 0
-17 -19 -98 0
-17 39 41 0
-73 78 -97 0
25 48 -68 0
-5 28 32 0
23 66 -74 0
54 75 -100 0
54 89 -99 0
12 -21 95 0
9 -15 -77 0
83 -97 100 0
17 -22 74 0
-69 80 95 0
-12 14 41 0
-16 -54 72 0
-13 48 93 0
2 57 91 0
52 -72 80 0
41 79 92 0
40 67 -94 0
-33 -88 -93 0
62 66 -78 0
-11 -44 57 0
7 -47 100 0
23 38 -80 0
-19 46 69 0
-29 34 -84 0
2 37 -100 0
-18 62 72 0
-28 45 83 0
22 -44 45 0
14 -16 -47 0
-36 -77 98 0
-39 55 64 0
14 43 67 0
38 -63 -97 0
-42 -58 92 0
2 18 65 0
12 -44 53 0
5 9 -66 0
3 -34 -77 0
22 60 97 0
1 -23 69 0
6 -45 76 0
-55 68 -99 0
6 28 91 0
-19 91 96 0
10 -59 65 0
12 24 -77 0
7 -19 -74 0
-5 19 29 0
23 -49 66 0
55 -63 78 0
-57 75 98 0
-5 6 98 0
3 -51 59 0
14 33 91 0
26 71 73 0
-42 -54 92 0
-20 23 85 0
-19 31 -70 0
37 -49 54 0
-1 2 -12 0
5 7 -57 0
5 85 89 0
-21 50 90 0
-62 69 80 0
-38 -54 84 0
52 67 93 0
11 -15 -50 0
10 -35 -91 0
-22 -42 94 0
6 -11 34 0
-26 -78 -93 0
49 60 94 0
18 -38 84 0
57 -94 -96 0
7 13 44 0
31 76 86 0
5 28 97 0
-24 -77 81 0
22 26 -45 0
24 -50 -70 0
30 48 -94 0
7 -31 54 0
-20 44 89 0
-56 -66 99 0
8 40 -72 0
1 -46 56 0
-61 75 94 0
-6 61 -78 0
-11 44 49 0
-72 84 -100 0
-23 -40 47 0
37 -42 -84 0
-11 28 60 0
64 82 95 0
-7 20 -67 0
5 24 -27 0
16 27 63 0
-58 67 89 0
-58 74 -97 0
21 54 -81 0
21 36 42 0
-7 -35 -92 0
-11 -47 -75 0
53 63 72 0
41 61 72 0
-35 -47 -90 0
5 -22 -100 0
64 71 -94 0
2 38 90 0
56 -79 -89 0
17 27 77 0
-18 38 77 0
-35 -38 46 0
-9 68 -84 0
-21 28 -84 0
-10 64 -96 0
3 11 -21 0
48 54 -58 0
-29 -40 52 0
17 -74 -93 0
30 -45 -46 0
37 68 -93 0
55 56 71 0
-12 -19 20 0
-47 91 -100 0
25 72 -83 0
-59 -80 -85 0
51 59 -77 0
-28 54 -84 0
-25 49 -64 0
8 48 -81 0
26 32 -37 0
52 72 92 0
-27 -32 -97 0
-22 25 -52 0
-26 -41 90 0
7 -42 -87 0
9 -13 42 0
16 -24 98 0
-36 -44 -64 0
16 27 -44 0
16 43 79 0
9 -73 78 0
46 68 89 0
-7 -51 -72 0
-30 43 -64 0
-24 -86 95 0
42 -70 93 0
72 96 98 0
52 -78 -92 0
-42 -47 51 0
-17 -56 95 0
3 -65 84 0
28 -58 -95 0
-9 58 68 0
-6 50 76 0
-3 56 100 0
28 -69 -95 0
-24 30 -65 0
39 -52 85 0
12 -55 75 0
-26 -55 -77 0
11 -26 28 0
16 -19 -87 0
-34 42 -52 0
9 73 82 0
-31 57 70 0
42 65 -85 0
-12 -49 85 0
13 -40 -78 0
-34 -66 -67 0
-8 69 -75 0
-54 76 -77 0
4 24 55 0
37 -64 -90 0
35 53 95 0
-28 -54 -80 0
28 -42 -62 0
-30 -84 -100 0
-16 -60 -86 0
36 39 -88 0
23 37 55 0
46 -53 -80 0
27 49 82 0
-1 -47 -97 0
34 35 66 0
-24 87 -96 0
-11 -70 -100 0
-6 -50 53 0
7 -10 87 0
70 -94 -97 0
-24 48 84 0
-79 -83 -97 0
-59 65 72 0
34 -36 61 0
-45 73 -100 0
-22 63 -79 0
-6 9 -44 0
-18 -30 57 0
-30 -41 94 0
35 75 90 0
58 -79 -84 0
4 -28 37 0
