p cnf 100 540
-24 73 94 0
2 22 -100 0
-25 33 -65 0
20 36 -51 0
-15 47 -78 0
-20 -70 -83 0
-17 94 -95 0
-19 72 78 0
-20 30 -70 0
-4 46 -55 0
10 -37 93 0
-10 -43 -66 0
-7 -12 76 0
13 50 61 0
-49 -54 65 0
-31 33 -63 0
-15 19 90 0
-26 -80 -89 0
19 48 87 0
-45 60 -100 0
25 41 -61 0
-44 -67 -76 0
38 50 95 0
-34 -73 80 0
7 -12 -22 0
2 -6 -45 0
-43 58 80 0
-1 84 85 0
-24 50 -61 0
-22 -43 84 0
87 -89 -91 0
15 -39 63 0
26 48 84 0
28 -64 -98 0
46 56 81 0
19 -83 -86 0
-6 -86 -89 0
10 50 -57 0
1 -44 -85 0
-15 -23 -56 0
-3 -32 35 0
9 63 99 0
9 80 -91 0
-64 70 -88 0
-47 57 -58 0
33 -37 -41 0
16 58 69 0
-14 -42 82 0
48 90 96 0
28 71 -72 0
18 -80 -92 0
-2 49 -99 0
33 -60 -70 0
-1 -44 58 0
17 -47 -97 0
-16 -24 -34 0
-56 88 -89 0
13 -24 75 0
19 63 -64 0
22 -36 -64 0
2 -44 100 0
33 53 72 0
-3 -5 34 0
12 25 -88 0
71 -82 91 0
-25 -56 86 0
8 23 -79 0
4 -58 60 0
-18 52 95 0
13 -20 38 0
28 34 -93 0
-40 72 97 0
38 -46 68 0
-19 25 -80 0
30 62 97 0
-1 -6 88 0
-28 40 -54 0
40 -45 -63 0
15 -30 -69 0
12 -24 63 0
-9 -35 70 0
-8 21 87 0
-2 9 -88 0
36 -61 -68 0
-11 -34 37 0
33 -37 58 0
19 61 -66 0
7 -74 100 0
39 -61 72 0
-28 -68 74 0
-18 41 -75 0
-5 24 98 0
1 37 -46 0
37 -52 85 0
59 -90 -91 0
-41 57 -79 0
10 30 -40 0
-81 85 -87 0
-1 -58 -77 0
23 85 98 0
9 -77 -85 0
29 -31 45 0
-43 74 83 0
-27 60 73 0
-12 22 64 0
20 -67 95 0
-11 -22 88 0
8 -29 -46 0
-9 20 -81 0
10 18 -98 0
-50 92 -96 0
-11 14 50 0
29 64 -65 0
-4 -38 -40 0
-19 -50 77 0
-4 6 -57 0
-12 -16 -24 0
-19 21 -63 0
22 -89 93 0
-2 -23 99 0
-20 -28 66 0
31 -50 -60 0
-10 -61 95 0
-11 -56 -100 0
-28 -39 -92 0
14 39 -80 0
-56 67 74 0
3 27 57 0
60 92 -99 0
51 62 -89 0
12 59 -74 0
-20 -77 100 0
-14 -82 96 0
-14 -85 -96 0
-13 -93 97 0
30 -51 -53 0
-1 -42 -84 0
8 39 40 0
26 -34 55 0
-11 -43 -84 0
-21 -74 -96 0
62 -66 92 0
20 -22 -78 0
26 78 -89 0
1 -12 18 0
-16 -55 -60 0
-6 -24 -65 0
38 51 62 0
-32 -50 93 0
7 71 75 0
-48 -67 -91 0
-53 -56 -64 0
35 72 -85 0
24 -38 86 0
-24 -25 -62 0
48 59 -60 0
-2 -13 35 0
-62 79 -83 0
5 29 73 0
-21 -93 -96 0
12 34 97 0
27 45 75 0
9 59 -99 0
42 -67 90 0
54 -60 84 0
77 81 85 0
-54 56 75 0
-4 -52 -82 0
31 -60 -69 0
-44 -63 -80 0
25 71 -76 0
12 86 -95 0
-6 -23 35 0
59 -68 -75 0
-33 83 93 0
-14 -38 -75 0
-15 -30 90 0
-32 48 -83 0
-12 36 -60 0
-7 26 92 0
63 78 93 0
31 34 93 0
41 47 91 0
-3 34 38 0
2 -7 49 0
-14 17 -66 0
48 60 95 0
-32 -81 94 0
-10 -88 98 0
57 -66 76 0
-7 -14 -23 0
45 -75 88 0
-10 57 -91 0
-25 -49 66 0
-32 68 -86 0
-10 -49 -60 0
28 62 64 0
-17 30 -100 0
5 46 58 0
12 -22 94 0
3 -28 -33 0
-3 31 -99 0
15 55 -99 0
22 -88 -100 0
15 -44 55 0
9 -56 92 0
10 -85 -90 0
47 51 99 0
24 28 32 0
-1 34 83 0
18 -30 99 0
4 -6 -38 0
-57 64 -74 0
-11 -34 66 0
14 -37 -54 0
29 -62 80 0
5 57 -82 0
-28 -39 88 0
-41 66 -69 0
-39 -68 85 0
32 74 -97 0
34 53 58 0
17 -87 -91 0
44 55 -70 0
-49 -87 -95 0
3 -23 -62 0
-55 -62 83 0
-29 -33 -79 0
34 76 -80 0
-17 -64 75 0
23 25 -43 0
23 33 -96 0
12 21 36 0
-20 49 62 0
-22 -89 92 0
7 29 -55 0
45 -60 77 0
-7 46 -92 0
33 -39 69 0
-26 79 87 0
-8 -57 -89 0
-28 66 -94 0
-28 72 -73 0
-69 71 -84 0
58 62 79 0
56 -72 -86 0
31 65 -77 0
-31 -47 -76 0
9 -58 89 0
18 -22 73 0
20 -36 85 0
-26 -29 97 0
1 -23 -100 0
-24 -39 -77 0
-20 37 -98 0
42 -49 -99 0
38 -77 87 0
1 -5 76 0
-3 -65 96 0
-38 -80 -94 0
-1 11 -88 0
-48 86 -88 0
22 24 52 0
18 -19 -84 0
-60 77 92 0
82 -97 99 0
-23 61 -71 0
7 -67 100 0
9 -57 -67 0
2 -21 -34 0
31 38 -77 0
-56 69 -85 0
28 -33 85 0
4 26 27 0
-38 -54 64 0
34 65 -95 0
-4 -9 -92 0
-20 45 77 0
7 26 87 0
-24 -61 72 0
63 -87 -89 0
-2 28 -73 0
-29 -82 96 0
-27 51 66 0
29 45 -79 0
-15 -46 47 0
-34 42 -89 0
51 -64 97 0
24 -44 -77 0
25 64 72 0
15 22 -97 0
4 36 -82 0
-8 69 89 0
-35 59 -90 0
32 -41 51 0
26 37 -83 0
-37 74 -99 0
40 -76 -84 0
-13 -19 -26 0
-13 52 -97 0
-41 -80 84 0
1 -64 94 0
-68 -74 -100 0
11 -53 -91 0
-55 -72 89 0
-11 55 57 0
4 49 -55 0
-18 -81 82 0
46 -58 -63 0
7 51 66 0
-43 -48 -51 0
13 -61 -62 0
-25 49 -58 0
-25 62 -85 0
-31 -81 -89 0
-45 65 85 0
18 -22 58 0
51 -67 85 0
41 62 -66 0
48 -50 94 0
-50 -62 93 0
26 42 87 0
23 -74 86 0
47 -85 -93 0
29 -33 93 0
-14 -30 77 0
-1 39 -65 0
-7 27 52 0
-18 -19 77 0
-10 -51 -66 0
-32 -83 84 0
28 43 -71 0
-9 14 -43 0
26 -76 -84 0
6 -41 -57 0
-27 -49 -91 0
-56 -57 -94 0
-3 16 -90 0
-15 25 86 0
2 -33 -57 0
-29 -41 -89 0
28 82 90 0
-38 45 46 0
-33 -34 99 0
47 48 -75 0
12 42 -92 0
-4 -16 29 0
36 -37 -94 0
-34 -94 99 0
49 51 90 0
3 83 86 0
42 -47 59 0
-33 -44 -54 0
18 60 -61 0
-67 -70 -85 0
13 -47 -71 0
-36 -42 61 0
58 93 -100 0
39 58 -98 0
2 -49 66 0
-25 42 46 0
87 -95 99 0
-5 75 92 0
-4 43 90 0
9 -49 61 0
79 84 96 0
7 38 -85 0
-9 29 87 0
27 -30 75 0
12 47 67 0
4 -30 -64 0
-44 -45 -52 0
1 38 84 0
-43 58 -100 0
1 -2 36 0
9 10 29 0
-32 39 -79 0
19 59 -77 0
1 -61 71 0
32 51 93 0
24 36 79 0
32 50 -54 0
18 76 -96 0
39 -68 -87 0
60 -95 -97 0
22 -59 -78 0
-29 33 -81 0
1 -38 67 0
-11 -20 -41 0
-46 72 -77 0
26 33 -59 0
-53 -63 -84 0
14 23 77 0
-65 -77 -87 0
6 -18 88 0
-67 -87 90 0
28 78 -82 0
18 -34 57 0
-48 -84 89 0
18 -57 -81 0
-39 -53 91 0
14 -62 -65 0
11 54 86 0
-16 28 56 0
15 -69 76 0
7 -8 60 0
-26 49 75 0
36 -40 82 0
27 30 -72 0
-28 58 -59 0
14 43 -64 0
57 -68 88 0
5 -28 -60 0
20 -46 -49 0
-60 -93 95 0
21 49 -62 0
29 -49 -53 0
35 -45 97 0
43 51 86 0
54 -61 93 0
54 64 100 0
-45 -49 -73 0
-47 93 95 0
-11 57 -71 0
50 -75 -99 0
-27 -58 -71 0
-1 50 92 0
9 18 19 0
-59 60 77 0
-4 -55 -93 0
-90 91 -95 0
-4 29 45 0
-10 25 32 0
-75 77 84 0
-34 -78 -94 0
-3 17 18 0
3 64 -93 0
18 19 -69 0
-37 48 -58 0
-8 96 99 0
-11 -30 -77 0
-5 -11 -36 0
-27 -75 -80 0
-7 13 20 0
10 63 -75 0
-9 48 -59 0
13 -28 -29 0
32 -55 -74 0
39 -63 -65 0
54 -83 -93 0
-16 47 51 0
-5 16 28 0
-19 -32 -73 0
-20 31 -91 0
-29 -52 -57 0
-23 -32 92 0
7 19 -49 0
-13 -22 -63 0
-49 -73 100 0
34 -91 -94 0
-67 86 100 0
36 38 58 0
-8 20 70 0
-30 -80 82 0
-5 50 -78 0
43 -55 81 0
-4 -8 -18 0
-28 -60 -74 0
-52 68 -85 0
30 -39 -84 0
4 21 34 0
-22 26 30 0
-23 -54 -58 0
16 -57 -100 0
11 34 55 0
16 23 46 0
36 -71 -73 0
-67 -82 -93 0
-5 -18 64 0
-51 -85 87 0
17 -42 75 0
-19 -30 92 0
6 -25 38 0
9 67 -91 0
-10 73 88 0
62 64 80 0
-12 84 89 0
-7 47 98 0
18 68 -90 0
40 50 65 0
24 -49 78 0
-33 37 -49 0
-14 -89 90 0
65 -88 92 0
16 -63 77 0
-5 -21 -46 0
-15 65 -99 0
-39 87 95 0
8 -45 78 0
-21 34 85 0
-70 86 98 0
-26 64 85 0
-49 60 -67 0
22 53 77 0
-29 -30 -40 0
12 -69 86 0
-50 -63 -84 0
51 78 98 0
-8 65 -86 0
-23 -76 80 0
-9 14 -75 0
-66 -70 91 0
-34 -56 -85 0
-27 40 85 0
-21 43 86 0
41 74 -98 0
54 57 -63 0
-45 -59 -93 0
4 60 -94 0
8 -63 -92 0
16 -50 99 0
-2 38 -69 0
77 84 100 0
1 56 -57 0
45 64 91 0
55 84 -88 0
10 -16 23 0
-10 -40 63 0
-5 28 -35 0
-28 64 80 0
-24 -78 -79 0
-29 49 -77 0
24 -72 97 0
9 -23 74 0
42 61 96 0
-29 43 64 0
-19 -74 96 0
-4 47 -59 0
-9 34 -73 0
61 65 -100 0
