p cnf 100 600
13 36 100 0
-32 34 -98 0
38 68 -96 0
25 -42 -68 0
33 -52 -61 0
-1 -5 -95 0
23 -27 -68 0
10 -73 76 0
-28 57 94 0
-5 11 -73 0
19 -27 82 0
-57 -65 -79 0
-37 87 -91 0
48 -92 -97 0
37 -76 85 0
-8 -36 -89 0
-14 27 69 0
13 -16 -38 0
6 -20 89 0
-86 -93 95 0
16 43 86 0
-26 28 -80 0
6 84 -86 0
-36 43 -45 0
19 31 -51 0
72 -83 -90 0
-3 -44 81 0
2 -41 -91 0
30 36 -47 0
8 12 -89 0
53 -55 -73 0
9 45 -64 0
13 14 -59 0
1 84 95 0
-1 21 -43 0
52 54 77 0
17 -53 -82 0
12 36 -87 0
6 -15 -88 0
-14 -42 79 0
3 -23 -31 0
21 33 90 0
6 -50 -60 0
2 7 40 0
-49 -83 88 0
9 76 97 0
19 51 -84 0
-12 -50 -89 0
-73 -93 -99 0
4 -21 42 0
-6 65 -73 0
23 32 64 0
31 69 71 0
-58 -68 -79 0
6 60 -98 0
-17 19 89 0
30 37 78 0
1 19 -47 0
-8 14 -99 0
53 -59 67 0
-38 62 -89 0
5 -62 99 0
7 14 -69 0
-5 -30 41 0
25 70 86 0
34 -71 -99 0
-25 -60 -81 0
37 40 71 0
-14 61 -86 0
5 58 -71 0
21 -51 73 0
-6 33 95 0
-67 74 94 0
-39 -78 -99 0
-37 61 83 0
-6 30 -34 0
44 -75 100 0
18 -42 -51 0
11 -51 86 0
-8 19 -72 0
25 72 -75 0
-73 77 80 0
-78 82 -95 0
37 40 -68 0
-41 48 85 0
-80 92 94 0
-11 -19 -79 0
50 -88 98 0
-13 -33 -68 0
-27 31 52 0
-12 -27 37 0
-31 47 -74 0
5 21 -91 0
-9 26 95 0
18 37 -66 0
-40 -67 80 0
-6 -61 86 0
-13 89 90 0
47 -56 84 0
60 73 -94 0
19 -39 -91 0
-40 51 -91 0
7 37 78 0
6 83 -86 0
1 -63 -67 0
-2 29 52 0
2 -29 -62 0
18 -76 83 0
45 -53 97 0
20 83 96 0
5 -19 -40 0
5 -14 44 0
2 8 69 0
-46 -54 64 0
-12 -29 94 0
18 -19 35 0
-40 84 -91 0
4 -22 79 0
50 67 -90 0
14 17 33 0
-55 81 -98 0
-5 -38 -65 0
17 -28 59 0
37 46 -57 0
-40 70 -71 0
5 -47 -53 0
16 -24 -26 0
12 29 100 0
-29 -39 44 0
-16 54 84 0
20 -45 79 0
-38 -70 -86 0
-24 -68 100 0
-76 79 -96 0
11 51 -89 0
-21 -59 94 0
-29 -47 -94 0
-46 47 -90 0
35 58 69 0
11 32 62 0
-18 24 -60 0
15 66 -84 0
9 -32 48 0
-51 84 -87 0
-49 -56 59 0
-32 54 66 0
-36 -46 49 0
-15 41 76 0
-37 65 -92 0
10 54 57 0
-23 -88 -93 0
49 50 60 0
-23 38 47 0
-5 36 52 0
-36 72 -94 0
17 24 -48 0
-12 -72 100 0
-4 -27 29 0
34 66 93 0
-3 43 -58 0
20 -21 -34 0
-27 41 99 0
40 -82 90 0
-9 -35 57 0
-58 -61 63 0
18 70 82 0
-32 36 47 0
-20 -36 -65 0
12 19 -40 0
3 30 78 0
38 54 77 0
18 37 -43 0
-51 -58 -87 0
-7 -15 27 0
33 61 99 0
-19 21 44 0
21 39 55 0
-16 -44 -62 0
-40 95 -96 0
18 -45 71 0
-48 -50 56 0
-31 42 80 0
-4 79 86 0
28 34 -41 0
15 -78 -89 0
9 -29 56 0
-12 17 48 0
12 50 68 0
-32 35 -59 0
2 -37 -44 0
5 88 91 0
22 39 -91 0
12 58 69 0
-41 55 94 0
15 96 -98 0
5 71 84 0
11 -18 -44 0
17 45 100 0
39 45 -66 0
-32 -45 -47 0
-30 60 -73 0
45 57 84 0
-16 -24 -28 0
-29 32 99 0
1 -23 35 0
15 -24 -34 0
-75 76 92 0
28 34 53 0
28 -73 79 0
5 -17 93 0
-66 -70 -87 0
-3 44 51 0
-8 -16 -38 0
-10 -34 66 0
22 35 43 0
2 -11 82 0
-48 53 -66 0
-27 62 64 0
5 -31 -99 0
23 50 92 0
51 -69 -80 0
-36 -68 -80 0
10 -75 -92 0
5 -40 -92 0
-3 -13 -67 0
-21 -61 -65 0
13 -87 -94 0
51 94 -98 0
-3 -49 97 0
5 20 -34 0
-34 80 90 0
44 61 -89 0
1 66 77 0
-15 86 -92 0
-10 -39 82 0
-84 -89 -100 0
