p cnf 100 320
-4 58 -82 0
-2 22 -91 0
-33 77 90 0
10 -28 93 0
5 33 -77 0
23 34 -43 0
2 67 -90 0
-25 -26 98 0
-2 -53 -55 0
32 -37 -58 0
14 60 -75 0
-20 -31 -68 0
4 50 -54 0
-2 -12 -73 0
-51 58 94 0
72 73 -79 0
44 -53 72 0
11 -29 -88 0
15 79 -83 0
37 -83 90 0
10 42 81 0
-35 69 91 0
29 -67 78 0
9 24 -76 0
38 54 -76 0
-2 -56 -93 0
-29 91 97 0
-13 -81 -89 0
15 27 62 0
-24 -31 86 0
-2 -7 44 0
75 -89 -96 0
-17 -74 -95 0
5 6 -66 0
-23 59 85 0
44 48 86 0
21 35 72 0
-79 -80 -91 0
-6 11 -18 0
-4 -18 -34 0
20 -24 73 0
-1 -37 -60 0
-10 -26 63 0
15 46 77 0
-20 23 97 0
46 48 66 0
-21 -57 -83 0
-4 52 87 0
-12 -36 -43 0
44 62 -69 0
-4 -78 97 0
-15 -49 -70 0
-7 -62 69 0
20 29 -45 0
-13 -29 -88 0
4 7 10 0
-47 -70 -77 0
-34 79 92 0
-36 -76 96 0
-34 -35 -46 0
34 60 85 0
7 -29 -70 0
40 -56 76 0
26 -34 -73 0
-42 -83 87 0
-39 76 90 0
-11 -43 85 0
-11 -43 64 0
5 -17 -98 0
-19 77 87 0
69 -84 -86 0
35 -66 -72 0
54 -58 60 0
1 12 31 0
-39 83 86 0
15 39 -83 0
38 52 93 0
13 -16 28 0
-23 -75 97 0
-73 76 -79 0
-5 40 -45 0
46 -68 75 0
49 -82 89 0
-31 79 -88 0
36 -53 74 0
20 37 72 0
12 35 -37 0
-33 64 66 0
35 -64 -74 0
-13 -53 -82 0
13 47 -75 0
13 -49 85 0
64 -69 81 0
6 20 -91 0
-31 46 -67 0
-32 -35 85 0
15 68 75 0
40 48 70 0
12 -27 85 0
-7 -12 -69 0
2 -18 42 0
-3 21 42 0
-19 -34 -40 0
-28 -50 -93 0
36 -41 -62 0
14 47 86 0
27 -44 -69 0
-17 -94 95 0
-76 -81 -99 0
90 95 97 0
-10 11 33 0
12 64 87 0
-50 85 96 0
-3 -38 -47 0
-22 -46 -75 0
9 -23 -60 0
12 35 -81 0
-8 17 68 0
-9 19 53 0
-6 -39 88 0
-24 -40 52 0
-49 -80 97 0
-53 -54 95 0
-21 33 -77 0
-10 -50 -58 0
75 85 -88 0
4 -30 93 0
-92 95 -100 0
31 -45 58 0
56 57 -61 0
38 -53 66 0
26 30 -87 0
18 24 97 0
-12 -19 -25 0
-4 -57 98 0
-59 70 91 0
-29 -68 -71 0
-17 82 97 0
20 -42 85 0
65 -67 97 0
-2 -11 -15 0
-41 66 92 0
-17 44 -50 0
-27 28 78 0
36 86 97 0
-7 -10 78 0
4 41 92 0
-10 -18 -30 0
-10 19 -66 0
13 -56 79 0
68 -91 99 0
37 50 93 0
46 58 -82 0
-20 -48 92 0
32 89 90 0
-15 -26 33 0
-31 45 -99 0
8 85 -97 0
36 77 -89 0
-74 -88 95 0
27 79 -91 0
-1 84 93 0
4 5 30 0
38 84 96 0
14 42 52 0
7 -49 88 0
15 -22 -23 0
-13 68 -100 0
-9 22 95 0
53 82 -99 0
8 69 81 0
-26 86 -90 0
-9 -19 -37 0
-30 37 58 0
-18 79 -88 0
-8 35 45 0
-12 -35 -91 0
20 72 -87 0
-13 -39 -58 0
-54 -71 -79 0
-12 -40 -98 0
19 -82 -100 0
-44 -66 90 0
-14 39 -73 0
-20 -61 -63 0
9 40 48 0
5 -45 60 0
66 -76 97 0
-53 79 -98 0
-11 -22 -29 0
10 -19 -69 0
-13 82 85 0
-14 -22 -47 0
-11 63 -82 0
-45 68 -97 0
7 80 -95 0
-36 75 -80 0
-1 -73 94 0
-18 31 -58 0
-13 31 -58 0
24 38 64 0
-27 48 -54 0
10 -70 -83 0
-67 86 -95 0
3 -65 -73 0
32 37 57 0
-27 28 39 0
-58 91 96 0
-14 -68 -71 0
29 -34 87 0
45 -46 -99 0
-28 71 -98 0
20 39 99 0
-12 36 57 0
71 -72 -99 0
5 -39 -58 0
22 -25 43 0
-22 -32 62 0
-10 66 -83 0
20 62 -81 0
23 60 -98 0
10 47 -79 0
-9 -51 -70 0
-24 38 -88 0
-20 -31 53 0
7 69 92 0
-2 51 -59 0
32 -55 -91 0
9 38 65 0
8 94 -98 0
1 46 78 0
1 -98 -100 0
3 56 -63 0
37 -59 74 0
-27 -28 50 0
-54 64 85 0
-21 -59 -86 0
8 -10 65 0
50 -59 -80 0
-43 75 -91 0
-42 -59 -62 0
45 88 92 0
69 82 88 0
-26 51 -93 0
30 -76 85 0
-7 25 47 0
9 10 98 0
27 49 79 0
-40 42 -100 0
-51 59 -95 0
-17 -78 96 0
26 43 81 0
16 -85 -91 0
-8 60 -64 0
-33 -51 -81 0
-47 63 -64 0
-42 -57 -91 0
44 51 -81 0
42 -45 95 0
1 48 -76 0
-16 33 95 0
12 88 -94 0
-38 61 -68 0
30 66 -98 0
-59 -69 81 0
20 48 77 0
-4 -37 84 0
-34 -76 -96 0
7 19 66 0
-1 2 96 0
-6 38 85 0
-2 -24 75 0
7 45 52 0
18 51 58 0
-48 59 70 0
10 16 61 0
-12 13 53 0
-7 35 -77 0
-3 -29 -42 0
4 -44 92 0
58 -66 87 0
-9 -69 -100 0
23 27 41 0
10 -61 86 0
-6 25 -79 0
-28 71 -95 0
-19 30 -51 0
61 -71 -89 0
-3 16 -18 0
-25 -34 47 0
-26 -27 -64 0
-16 -30 -68 0
27 41 77 0
8 29 -90 0
42 -63 89 0
-5 -8 -32 0
-16 53 68 0
8 41 -53 0
1 -67 72 0
-50 -52 -64 0
12 49 -78 0
-10 -40 -66 0
-33 -86 99 0
23 93 99 0
27 -28 -38 0
40 -45 81 0
1 -18 35 0
19 -41 -92 0
12 42 93 0
67 -91 -99 0
-24 -32 41 0
11 12 35 0
-3 26 -81 0
-31 -46 58 0
-7 19 66 0
40 -55 -84 0
53 -70 -90 0
-52 -66 74 0
16 -40 41 0
41 -46 -93 0
