p cnf 100 300
22 89 90 0
-8 91 93 0
-53 -64 84 0
7 -64 65 0
57 63 64 0
18 70 -93 0
50 82 -85 0
-11 50 -71 0
-24 -57 -96 0
-26 -41 -61 0
5 -37 83 0
45 51 89 0
-28 29 32 0
-60 73 -99 0
8 -36 79 0
-9 56 75 0
-52 -55 76 0
-70 -95 97 0
3 -6 -29 0
9 -24 69 0
-27 -38 67 0
-7 28 -65 0
73 79 -89 0
-7 59 67 0
-1 -61 100 0
-17 -82 87 0
32 43 -78 0
32 36 -92 0
-2 -16 -72 0
-69 85 95 0
27 39 97 0
-5 -27 55 0
16 31 32 0
27 -68 -88 0
-5 -41 -68 0
-2 -60 -69 0
-24 59 -91 0
27 -44 68 0
65 76 90 0
-7 64 78 0
29 62 77 0
10 -69 -77 0
35 76 -97 0
9 43 100 0
-26 -57 65 0
36 -44 87 0
-60 -63 71 0
23 91 100 0
55 -61 96 0
2 24 29 0
1 -5 26 0
57 69 -95 0
-1 13 66 0
-23 40 -49 0
36 -61 -62 0
19 31 55 0
4 -13 -16 0
-56 82 99 0
-11 -41 71 0
-4 -77 -83 0
26 36 -51 0
42 43 -68 0
-22 -57 100 0
27 41 83 0
22 26 90 0
-44 -72 97 0
17 51 -73 0
-49 53 -71 0
-31 49 -76 0
51 -68 -86 0
10 62 -85 0
53 -64 69 0
49 -67 -95 0
-36 -67 -82 0
-17 42 -84 0
24 87 -92 0
-55 63 -71 0
35 44 67 0
42 -48 58 0
12 32 -36 0
27 -34 53 0
33 48 -74 0
1 4 81 0
15 -19 -36 0
-6 66 83 0
17 29 54 0
-19 55 -78 0
-12 44 100 0
6 92 94 0
26 36 92 0
-4 53 -86 0
15 -47 -58 0
43 -58 62 0
17 -41 -74 0
-14 37 90 0
-57 72 -94 0
24 64 -82 0
-1 84 -96 0
4 33 -44 0
11 55 -86 0
-17 -48 -95 0
-16 21 53 0
-71 -72 -80 0
-17 27 -36 0
2 -63 -90 0
-77 -80 96 0
20 51 -74 0
84 85 -100 0
25 51 74 0
-60 -80 86 0
-17 37 60 0
9 -42 -81 0
23 -58 -60 0
30 88 97 0
73 83 -96 0
46 -48 -58 0
-35 66 -98 0
18 -59 64 0
5 58 89 0
14 26 59 0
-20 -33 -49 0
-15 -19 38 0
-4 47 61 0
42 43 -71 0
-30 -36 -87 0
41 63 -80 0
-16 42 -56 0
-11 12 19 0
6 61 99 0
-33 -34 61 0
55 -69 -93 0
20 -49 77 0
30 -71 78 0
