p cnf 100 320
-36 -41 71 0
3 -18 37 0
3 -12 -59 0
-16 20 23 0
42 -43 -82 0
1 -11 -91 0
-7 9 95 0
-10 25 85 0
11 32 71 0
-6 39 -97 0
-76 79 -91 0
-18 -65 75 0
37 57 79 0
-7 10 -53 0
47 58 -83 0
10 64 -69 0
20 -67 100 0
-44 -83 -96 0
-43 -46 99 0
9 48 54 0
28 -39 -98 0
-41 44 63 0
49 79 89 0
-80 91 -92 0
-26 -55 -97 0
8 61 68 0
9 -33 63 0
16 42 51 0
-19 -65 -97 0
29 -78 94 0
38 -53 96 0
-9 -34 -80 0
-23 -48 -52 0
46 -58 95 0
-22 -40 64 0
45 -51 -91 0
54 -66 86 0
30 95 -100 0
-5 -40 -88 0
26 -57 -67 0
-1 13 57 0
-4 -87 94 0
-42 46 57 0
-26 -33 98 0
46 -75 91 0
-17 -37 94 0
11 35 36 0
28 -45 70 0
-49 70 -80 0
13 -15 47 0
-37 58 -95 0
-50 76 98 0
39 52 -67 0
3 11 -87 0
-60 -81 87 0
-1 -70 81 0
2 -56 -91 0
-6 24 -91 0
-20 80 99 0
31 67 70 0
-25 -42 78 0
-8 10 -89 0
-10 -30 -91 0
-17 40 48 0
-8 30 40 0
40 45 75 0
-28 -33 76 0
-7 28 47 0
-6 11 75 0
-24 -41 -89 0
3 42 -43 0
-2 -46 -82 0
-41 -53 59 0
-29 -50 -87 0
-6 -13 -14 0
12 24 85 0
21 -32 -98 0
43 -50 61 0
27 32 79 0
-13 37 -93 0
-28 69 -70 0
5 15 -16 0
40 75 82 0
2 41 -88 0
66 -87 -93 0
5 -36 -62 0
-11 21 40 0
69 -74 81 0
-61 89 99 0
-11 85 94 0
48 52 86 0
-18 47 77 0
-62 -89 -95 0
-57 61 -85 0
-29 -67 95 0
7 28 -51 0
14 36 -65 0
51 -53 72 0
-7 -68 -85 0
-5 -65 -99 0
40 -75 77 0
-19 -73 -77 0
32 -35 -73 0
44 50 72 0
-7 -62 -72 0
-38 61 -86 0
-50 -68 -77 0
-42 -61 87 0
-12 -34 61 0
34 -73 -85 0
-75 -80 -81 0
-13 -79 97 0
-1 -67 -68 0
-31 37 -96 0
16 20 23 0
21 -28 -40 0
-6 9 26 0
-14 -73 98 0
6 69 -77 0
-46 -71 73 0
29 35 -88 0
2 81 -97 0
-5 17 90 0
6 -35 83 0
21 -30 64 0
51 71 97 0
11 -36 92 0
-28 -87 -98 0
-3 7 -71 0
24 62 67 0
14 -29 51 0
-47 -68 72 0
13 26 -98 0
36 -48 52 0
-8 9 11 0
-6 -11 -31 0
38 -74 -99 0
-19 28 -48 0
-20 39 -88 0
34 52 -62 0
-6 60 68 0
-17 -45 -49 0
-2 -3 -94 0
-35 67 -68 0
24 -25 97 0
50 52 90 0
-8 -10 42 0
75 -90 99 0
-12 26 -91 0
44 -71 -72 0
-2 -15 16 0
63 -85 -88 0
18 62 -77 0
13 64 -87 0
-64 -85 86 0
-7 -55 81 0
-40 61 84 0
9 -78 -83 0
8 -75 99 0
21 44 -55 0
18 70 93 0
16 49 -97 0
-1 53 -96 0
19 -74 -81 0
13 90 93 0
-11 -38 -54 0
-23 -50 73 0
62 67 97 0
25 -36 74 0
7 -41 -47 0
3 25 66 0
-35 40 -80 0
-57 84 92 0
44 -58 90 0
-21 -23 36 0
-87 -89 -98 0
14 -46 -85 0
-2 36 51 0
3 -22 -33 0
-41 74 -91 0
22 40 -47 0
-8 47 -100 0
14 88 -92 0
-41 -53 -65 0
-1 22 -27 0
-48 74 85 0
-62 87 92 0
3 -44 51 0
12 81 -87 0
-44 52 -60 0
40 -82 93 0
-9 -27 -29 0
-34 54 -69 0
3 -9 77 0
5 -49 72 0
-33 70 -88 0
11 -33 -79 0
34 -39 93 0
39 66 95 0
-30 -47 54 0
-22 -47 -56 0
-20 -71 97 0
-2 -34 98 0
-28 32 66 0
-65 68 -85 0
48 94 99 0
21 23 -96 0
31 -48 81 0
-22 71 -90 0
-18 48 76 0
-40 -88 90 0
21 -25 98 0
-67 73 -90 0
-3 5 -61 0
-13 69 -71 0
9 -12 51 0
17 52 71 0
-64 89 -96 0
-45 -51 -62 0
3 -31 43 0
42 -49 -94 0
51 -57 91 0
26 87 95 0
55 -84 94 0
33 48 -81 0
9 -16 52 0
-3 11 -19 0
2 4 68 0
51 56 67 0
-24 65 86 0
-5 13 -61 0
53 81 83 0
-54 -80 91 0
19 -39 -46 0
20 37 -90 0
13 85 98 0
8 -14 -90 0
