p cnf 100 340
2 -28 44 0
-15 27 -76 0
-47 -51 81 0
41 -46 -92 0
-56 61 66 0
22 -40 56 0
-39 50 62 0
-43 58 -85 0
-15 48 97 0
25 -27 -69 0
-14 26 76 0
-50 53 -58 0
-5 -7 -67 0
-1 54 -97 0
74 -92 -95 0
26 -61 68 0
-11 -43 -88 0
-7 -16 46 0
-8 73 85 0
44 50 -85 0
14 -51 -76 0
-1 -75 84 0
30 -88 92 0
26 46 -66 0
-15 -74 77 0
44 61 65 0
4 38 -52 0
-31 -49 90 0
-1 -53 -66 0
30 36 82 0
28 -55 77 0
33 53 98 0
-18 78 83 0
-8 15 92 0
12 39 82 0
29 63 75 0
26 -55 -61 0
29 37 57 0
-19 27 73 0
80 -91 -99 0
61 -76 -78 0
-16 -45 91 0
-35 -52 83 0
15 70 -93 0
-36 61 -72 0
27 28 -75 0
12 -79 98 0
-6 35 66 0
-3 73 -90 0
-6 63 -89 0
5 -56 -89 0
67 -89 91 0
35 -57 58 0
39 -89 93 0
-11 -49 -100 0
-23 -85 -94 0
14 -70 87 0
-1 -37 -58 0
-22 29 41 0
-23 47 84 0
11 -54 -99 0
26 -30 -48 0
-22 -61 -62 0
6 28 -43 0
1 -35 -100 0
-1 32 64 0
55 -90 -96 0
43 66 -89 0
48 -58 -74 0
-38 39 79 0
36 -44 -46 0
12 -70 89 0
-17 37 -92 0
52 -64 -75 0
-30 56 93 0
-19 44 64 0
22 -40 -75 0
-11 -77 -82 0
-10 20 -95 0
-16 -66 83 0
-9 -75 85 0
36 -78 83 0
-11 -18 23 0
-31 62 72 0
45 -57 84 0
-49 -68 -84 0
73 -91 97 0
-5 28 56 0
23 -70 87 0
2 -21 -34 0
22 44 -52 0
12 17 -75 0
77 -79 -96 0
-1 -37 45 0
-1 -77 -88 0
-17 49 96 0
20 -63 -97 0
28 -52 92 0
60 -66 87 0
9 -86 -92 0
-11 -62 -96 0
-6 -68 -70 0
12 -14 -47 0
-16 -74 78 0
10 -26 58 0
54 -59 91 0
17 40 -96 0
20 35 -44 0
13 -38 -96 0
-37 68 97 0
13 20 81 0
3 -11 -29 0
-8 30 -94 0
-2 -33 99 0
-33 77 87 0
14 -15 40 0
-5 43 -87 0
22 -81 91 0
67 -78 -97 0
-23 25 -65 0
57 62 -70 0
-30 44 -93 0
16 -33 34 0
81 -89 92 0
20 54 -66 0
5 14 25 0
1 -25 28 0
15 28 -67 0
-23 -52 -87 0
-38 62 -83 0
23 30 75 0
-22 62 -65 0
42 -62 87 0
13 -79 -84 0
7 49 75 0
-23 25 -39 0
11 32 53 0
14 19 -56 0
-43 -65 -69 0
-42 -59 -81 0
-10 -33 56 0
8 -50 65 0
-20 -36 65 0
-12 68 -69 0
-7 -16 -74 0
5 -18 -25 0
-22 -38 -91 0
80 98 100 0
-7 42 -59 0
-56 94 96 0
-13 72 90 0
47 -72 -74 0
-14 -65 -99 0
15 54 -73 0
-16 42 -92 0
-5 -63 -86 0
-37 63 81 0
-17 25 -82 0
-20 -27 -74 0
28 -35 -67 0
-31 -77 95 0
-18 -27 -95 0
12 -33 -69 0
9 -19 -28 0
40 59 61 0
-12 -37 49 0
-5 41 -77 0
-36 55 71 0
18 39 78 0
-9 42 -65 0
29 -68 80 0
21 44 -88 0
51 80 -94 0
-3 36 50 0
3 -8 -87 0
9 -50 -80 0
-14 31 43 0
20 -50 -54 0
-45 51 -80 0
-72 -73 -98 0
10 30 79 0
-16 39 -57 0
-29 72 82 0
17 -19 49 0
-15 -66 94 0
-11 13 -30 0
49 -57 80 0
33 -66 -78 0
-1 50 -92 0
1 3 -66 0
30 54 -94 0
18 -30 -56 0
-17 64 68 0
27 -37 92 0
46 -68 -80 0
-57 62 -64 0
-20 -81 91 0
-2 48 -73 0
-27 -38 -85 0
18 62 65 0
36 -39 84 0
-24 61 90 0
42 -71 -89 0
-30 -92 99 0
34 45 94 0
-20 59 -76 0
25 -58 -82 0
24 25 77 0
20 -84 99 0
21 25 40 0
-20 55 79 0
25 58 67 0
53 -74 98 0
17 53 75 0
-31 37 74 0
45 -65 -70 0
-30 -78 79 0
41 82 -100 0
-24 -76 -84 0
-32 56 -71 0
7 33 -84 0
-50 69 77 0
-64 -85 -89 0
-39 -87 89 0
10 -52 61 0
-30 69 78 0
45 76 -78 0
42 -64 -78 0
-25 -53 -98 0
-57 -59 63 0
-6 -42 43 0
-66 68 -79 0
9 66 75 0
25 77 -93 0
-5 33 -60 0
-9 -58 81 0
-31 82 93 0
3 -11 -18 0
66 -92 -94 0
14 -18 33 0
11 37 79 0
-21 86 -94 0
-21 -42 -77 0
-54 -69 -77 0
-6 51 88 0
-11 -50 95 0
-27 -41 54 0
27 -52 85 0
41 70 -75 0
-41 -42 -88 0
-4 -21 -29 0
12 17 -100 0
-18 -21 84 0
-9 -24 -58 0
30 34 -94 0
48 -73 81 0
-14 21 82 0
4 -24 94 0
-48 -66 69 0
30 -36 77 0
-56 -59 93 0
40 -72 -100 0
-2 20 -100 0
-36 43 72 0
3 -35 54 0
9 50 -79 0
1 -54 79 0
52 71 77 0
-26 -33 -68 0
12 -42 76 0
-21 73 -97 0
-25 61 96 0
-6 31 -42 0
-42 72 -76 0
68 69 85 0
29 -44 -70 0
42 -57 88 0
4 -21 92 0
34 -37 94 0
18 -51 -97 0
-2 -4 18 0
18 50 -73 0
87 -88 -96 0
-36 55 -60 0
43 90 99 0
1 -8 -14 0
-1 42 -70 0
11 -78 -93 0
30 -50 91 0
38 -44 -52 0
49 -88 96 0
38 -41 42 0
20 70 -75 0
-3 -13 43 0
-34 -47 -62 0
-30 -81 -95 0
6 31 -61 0
3 -51 61 0
26 28 -81 0
-44 67 -79 0
66 81 -84 0
-2 37 71 0
-20 80 94 0
7 -36 45 0
-25 -32 80 0
9 59 -96 0
-37 -70 -95 0
-6 -81 84 0
-1 -4 36 0
-19 -27 -44 0
-8 49 85 0
-10 -33 40 0
32 -58 75 0
-69 -84 -98 0
-2 13 81 0
5 63 73 0
-13 -32 47 0
-10 45 51 0
14 -17 -70 0
-33 -36 74 0
-26 -54 -91 0
-5 8 -22 0
-7 -42 56 0
-25 -28 44 0
14 -38 39 0
-57 -66 72 0
13 71 73 0
55 -71 -82 0
8 -45 -62 0
28 -37 62 0
33 49 68 0
-43 45 64 0
15 -70 71 0
-10 64 80 0
22 -48 -98 0
-32 49 88 0
-46 -82 -98 0
-18 -47 51 0
-6 -32 64 0
-17 -56 79 0
